Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
X Zygomatic suture origin R,-52.52830811,28.52559204,-56.08240967,-55.61046753,-62.65585938,-62.16806641,-54.9447876,-63.00144653,8.669320679,-103.7726685,-103.1963257,-121.3209961
Y Zygomatic suture origin R,538.7462402,-15.48010406,42.93962402,-4.729155731,33.93374023,31.45921326,40.03403015,35.16657715,252.8932373,-52.23397217,-63.45690918,250.1046631
Z Zygomatic suture origin R,-819.1600098,-543.5427246,-1255.833105,-655.3662109,-1270.112109,-1011.101465,-974.8936523,-1250.324023,-893.5402344,-737.1134277,-496.9391113,-488.9155273
X Zygomatic suture origin L,55.31616821,120.0203613,54.03127441,58.81159668,64.93258667,61.88292847,51.83245239,64.94656372,103.4538574,-6.354821396,-7.390180206,-18.07951813
Y Zygomatic suture origin L,544.7742676,-18.08005829,40.69570007,-3.37389679,40.78126221,29.75152893,39.34292603,33.25149231,252.7969971,-49.23583679,-48.46768188,254.559082
Z Zygomatic suture origin L,-820.4859375,-514.9429199,-1260.510449,-657.7629395,-1279.120801,-1015.337598,-978.7636719,-1255.803418,-874.5744141,-760.19375,-522.6281738,-519.6317383
X Zygomatic suture (proximal) CUR R 5,-54.40339966,29.06684265,-58.534729,-54.9854126,-63.66126709,-62.81723022,-56.28059692,-64.15692749,9.369648743,-107.9892822,-105.7440918,-122.1579956
Y Zygomatic suture (proximal) CUR R 5,540.9331543,-15.12780914,43.00494995,-4.146083832,36.35891418,33.0033905,43.41166992,38.17369385,255.8294189,-50.90655823,-60.77440186,252.9488281
Z Zygomatic suture (proximal) CUR R 5,-823.7203125,-549.1592285,-1262.09668,-661.0644531,-1278.938184,-1017.18457,-981.1869141,-1258.021875,-897.4723633,-742.3762695,-502.0132324,-494.2885742
X Zygomatic suture (proximal) CUR R 4,-56.01930542,27.5737793,-60.21978149,-56.37785034,-65.26013794,-64.27427979,-57.76810913,-65.63191528,9.576651764,-108.4382202,-107.0190186,-123.5184692
