Name,CW_M11977_Mandible,CW_NR1328_Mandible,CW_NR1609_Mandible,CW_M8752_Mandible,NHNW_B71_Mandible,CW_JM18942,NHNW_JM8466_Mandible,NHNW_SNC2_Mandible,SHNW_NR1326_Mandible,SHNW_M8827_Mandible,SHNW_M8774_Mandible,SHNW_M8951_Mandible
X Symphyseal groove CUR 7,65.05410767,4.514062881,2.404833221,-59.77932739,-3.832556915,1.090733147,-6.225322723,-2.668556786,-1.304812241,61.56174316,72.47006226,-49.5275116
Y Symphyseal groove CUR 7,73.87870483,-168.8859619,-165.230896,61.26537476,-53.58325195,-58.90285645,-48.84451599,-44.94812622,-142.1200073,62.10616455,-233.1648438,57.36277466
Z Symphyseal groove CUR 7,-810.0408691,-542.1422363,-877.0674805,-789.1188965,-1143.865332,-1130.634668,-1175.547363,-1416.787207,686.9345215,-749.9799316,-494.3831543,-506.3583496
X Symphyseal groove CUR 6,66.27478027,4.283977509,2.353492928,-60.83278198,-3.805602646,1.00593071,-5.820128632,-2.521943665,-1.558584785,62.72749023,73.89139404,-51.4454895
Y Symphyseal groove CUR 6,78.44136963,-164.1387329,-161.2628662,67.1031189,-48.78911438,-54.75534058,-42.9246582,-40.15116272,-138.1539063,65.36010132,-229.745459,60.99307251
Z Symphyseal groove CUR 6,-814.6201172,-546.7387207,-882.3946289,-792.8814941,-1149.832031,-1135.93916,-1181.879492,-1421.744922,681.3480469,-755.1380859,-500.2634766,-512.1069336
X Symphyseal groove CUR 5,67.3980835,4.054865265,2.107992744,-62.10939941,-3.729458618,1.049380016,-5.30633316,-2.621813202,-1.634521294,64.07258911,75.25095825,-53.24376221
Y Symphyseal groove CUR 5,82.44279785,-159.4164673,-157.181897,72.90275879,-44.09688416,-50.73355713,-37.41720886,-35.93395081,-134.7175781,68.43797607,-226.8575928,64.81826782
Z Symphyseal groove CUR 5,-819.1379395,-551.6666992,-887.2151367,-796.5007813,-1155.036914,-1141.128418,-1187.864551,-1426.432422,675.6505371,-760.1618652,-506.2788086,-517.6954102
X Symphyseal groove CUR 4,68.50255127,3.796386337,1.694249344,-63.31330566,-3.781420135,1.162878513,-4.553383636,-2.594232559,-1.562251377,65.35539551,76.61842651,-55.02090454
Y Symphyseal groove CUR 4,86.43693237,-154.3555054,-152.6950684,78.37893677,-39.67966614,-47.04059448,-32.31510925,-32.33214111,-131.2148804,71.48883057,-224.6965088,68.72224731
Z Symphyseal groove CUR 4,-823.51875,-556.779834,-891.5881836,-800.4951172,-1160.364746,-1146.461426,-1193.744727,-1431.312207,670.0382813,-765.2753906,-512.69375,-523.3799805
