Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
X Zygomatic suture origin R,-52.41121216,28.95606079,-56.57687988,-55.62907715,-62.79156494,-62.44860229,-55.02754517,-63.19075317,8.242691803,-104.2208618,-103.3310181,-121.2588745
Y Zygomatic suture origin R,537.9691406,-14.93669891,42.73372803,-4.890593719,34.0044342,30.96300659,40.43848267,36.35462341,253.2358643,-52.44818115,-63.45569458,250.4995605
Z Zygomatic suture origin R,-818.8925293,-543.8867188,-1255.697656,-655.2915039,-1269.987402,-1010.862988,-974.9080078,-1249.723438,-893.4473633,-736.7209473,-496.9358887,-488.5062012
X Zygomatic suture origin L,55.33230591,119.7473877,53.98769531,58.8453186,65.27191162,61.68867188,51.91586914,65.29060059,103.4371704,-6.41907196,-7.814090729,-18.00235291
Y Zygomatic suture origin L,544.5832031,-18.43789978,40.87390747,-4.027731323,41.02195435,29.94154053,39.37042236,33.79882507,252.6797852,-49.51415405,-48.7961731,254.8514404
Z Zygomatic suture origin L,-820.5652344,-515.2740723,-1260.582129,-657.4751953,-1279.194727,-1015.379492,-978.7058594,-1255.578516,-874.5344727,-760.1089844,-523.5189453,-519.6077148
X Zygomatic suture (proximal) CUR R 5,-54.45473633,29.10886841,-58.63586426,-54.89181519,-63.57519531,-63.25638428,-56.06192017,-64.46344604,9.536925507,-108.1381104,-105.7191406,-122.307373
Y Zygomatic suture (proximal) CUR R 5,541.0918945,-15.06143646,43.17460938,-4.44761734,36.25904541,33.22076111,43.00345154,38.34197083,255.9104248,-50.67915649,-61.08554077,253.0067627
Z Zygomatic suture (proximal) CUR R 5,-823.9600586,-548.7182129,-1262.182324,-660.9174805,-1278.590625,-1017.169043,-980.9435547,-1258.90459,-897.5681641,-742.3336426,-502.0003906,-494.2712891
X Zygomatic suture (proximal) CUR R 4,-56.1500061,27.53658142,-60.33223267,-56.30553589,-65.35819702,-64.49957275,-57.69268188,-65.75527344,9.358992004,-108.5017578,-106.8830688,-123.223938
Y Zygomatic suture (proximal) CUR R 4,545.9055664,-10.69657898,48.68920593,0.343960118,39.64567261,36.56509094,46.5201355,42.78036194,258.0202637,-48.6448761,-58.86989136,255.846167
Z Zygomatic suture (proximal) CUR R 4,-823.8023438,-550.5524902,-1263.562207,-662.0349121,-1279.85498,-1017.924902,-981.4067383,-1259.899219,-898.4129883,-743.6723145,-502.6224609,-495.1674805
X Zygomatic suture (proximal) CUR R 3,-57.24189453,26.60485535,-60.6097229,-55.78751221,-65.46920776,-64.70303955,-58.35183716,-65.58641968,9.863928986,-107.9929565,-107.702478,-123.8127197
Y Zygomatic suture (proximal) CUR R 3,551.7078125,-5.291004944,54.98547974,6.109423447,43.76360474,40.91192932,50.33967285,48.39008789,260.6728516,-46.41919556,-56.18188477,258.7834961
Z Zygomatic suture (proximal) CUR R 3,-824.6024414,-551.6975586,-1264.6375,-663.0235352,-1281.475,-1018.585547,-983.1044922,-1261.978516,-899.2893555,-745.3029785,-503.5448242,-496.5281738
X Zygomatic suture (proximal) CUR R 2,-56.20092773,27.82340088,-58.77316895,-53.78270874,-63.55108643,-63.54718628,-56.59276733,-64.25635376,10.75853271,-106.7136963,-107.264624,-123.9556763
Y Zygomatic suture (proximal) CUR R 2,556.2896973,-0.376611423,60.00297241,10.96523743,47.3828949,44.75745544,53.28996582,52.88634644,262.857959,-44.65127258,-53.57976685,261.2315674
Z Zygomatic suture (proximal) CUR R 2,-826.1983398,-552.0820801,-1266.972266,-664.0690918,-1282.771875,-1019.71416,-984.6943359,-1264.580957,-900.2575195,-746.8618164,-504.7814453,-498.0818848
X Zygomatic suture (proximal) CUR R 1,-53.3718689,30.7603241,-53.48499756,-49.85498962,-59.9411438,-60.07062988,-52.53859253,-60.71105957,12.07551956,-104.8502319,-105.342688,-123.7906494
Y Zygomatic suture (proximal) CUR R 1,559.6193359,3.490253067,62.35252075,13.90872345,50.60806274,47.58948975,54.99437256,55.84940186,264.5842041,-42.95794678,-51.33742065,263.4996338
Z Zygomatic suture (proximal) CUR R 1,-827.8857422,-552.4318359,-1269.174023,-666.1535645,-1284.284668,-1021.15127,-985.621582,-1268.185352,-901.2446289,-748.7553223,-506.4354492,-499.8803223
X Zygomatic suture (proximal) CUR L 5,55.94564209,122.7047241,55.96846313,57.87897339,64.26303711,61.42088013,53.18352051,65.51416626,104.6708008,-5.96999321,-7.717307281,-20.48498535
