Name,CW_M11977_Mandible,CW_NR1328_Mandible,CW_NR1609_Mandible,CW_M8752_Mandible,NHNW_B71_Mandible,CW_JM18942,NHNW_JM8466_Mandible,NHNW_SNC2_Mandible,SHNW_NR1326_Mandible,SHNW_M8827_Mandible,SHNW_M8774_Mandible,SHNW_M8951_Mandible
X Symphyseal groove CUR 7,65.04038696,4.184233093,2.139556122,-59.90818481,-3.787399292,0.997884464,-6.266414261,-2.598522186,-1.482105732,61.446521,72.51951294,-49.72784119
Y Symphyseal groove CUR 7,73.49411011,-168.8126587,-165.2299194,61.76636963,-53.49448242,-58.9838501,-48.59968872,-45.07141418,-142.1282349,62.02294922,-233.2534912,57.38068237
Z Symphyseal groove CUR 7,-809.5554688,-542.1305176,-877.1869141,-789.2755371,-1143.966504,-1130.465039,-1175.584277,-1416.703027,687.029541,-749.842627,-494.2845703,-506.5581543
X Symphyseal groove CUR 6,66.12356567,3.910416031,2.038691521,-60.90640259,-3.542568207,1.062924004,-5.737232971,-2.569067955,-1.509685612,62.8791748,73.91020508,-51.60084229
Y Symphyseal groove CUR 6,77.89720459,-164.1092407,-161.3546021,67.34734497,-48.67974548,-54.82702637,-42.87963257,-40.32405396,-138.0969604,65.3512146,-229.821167,60.98651733
Z Symphyseal groove CUR 6,-813.9979004,-546.6663574,-882.284668,-793.0584473,-1150.041797,-1135.808203,-1181.884863,-1421.549902,681.1881348,-755.1153809,-500.1463379,-512.1855957
X Symphyseal groove CUR 5,67.24519653,3.758267593,2.008295631,-61.95657349,-3.442177963,1.039195919,-5.194936752,-2.69344101,-1.596348095,64.21611328,75.10101929,-53.32937012
Y Symphyseal groove CUR 5,81.99111328,-159.3688477,-157.289978,73.06272583,-44.006427,-50.86440735,-37.56914368,-36.2461853,-134.5724609,68.43518677,-226.9534424,64.80853882
Z Symphyseal groove CUR 5,-818.4685547,-551.6731934,-887.012793,-796.6627441,-1155.563672,-1141.056934,-1187.904492,-1426.338672,675.3717773,-760.2788086,-506.3288086,-517.7208496
X Symphyseal groove CUR 4,68.17185059,3.633306503,2.035987473,-63.1190918,-3.322590637,1.127477551,-4.509794998,-2.389679909,-1.44750948,65.39086304,76.42265015,-54.98270264
