"","X","x"
"1",1,1
"2",2,1
"3",3,2
"4",4,2
"5",5,2
"6",6,2
"7",7,2
"8",8,2
"9",9,2
"10",10,2
"11",11,2
"12",12,2
"13",13,1
"14",14,1
"15",15,1
"16",16,1
"17",17,2
"18",18,2
"19",19,2
"20",20,2
"21",21,2
"22",22,2
"23",23,2
"24",24,2
"25",25,2
"26",26,2
"27",27,2
"28",28,2
"29",29,1
"30",30,1
"31",31,2
"32",32,2
"33",33,2
"34",34,2
"35",35,2
"36",36,2
"37",37,2
"38",38,2
"39",39,2
"40",40,2
"41",41,2
"42",42,2
"43",43,2
"44",44,2
"45",45,2
"46",46,2
"47",47,2
"48",48,2
"49",49,2
"50",50,2
"51",51,1
"52",52,1
"53",53,2
"54",54,2
"55",55,2
"56",56,2
"57",57,2
"58",58,2
"59",59,2
"60",60,2
"61",61,2
"62",62,2
"63",63,2
"64",64,2
"65",65,2
"66",66,2
"67",67,2
"68",68,2
"69",69,2
"70",70,2
"71",71,2
"72",72,2
"73",73,1
"74",74,2
"75",75,2
"76",76,2
"77",77,2
"78",78,2
"79",79,2
"80",80,2
"81",81,2
"82",82,2
"83",83,2
"84",84,2
"85",85,2
"86",86,2
"87",87,2
"88",88,2
"89",89,2
"90",90,2
"91",91,2
"92",92,2
"93",93,2
"94",94,2
"95",95,2
"96",96,1
"97",97,1
"98",98,2
"99",99,2
"100",100,2
"101",101,2
"102",102,2
"103",103,2
"104",104,2
"105",105,2
"106",106,2
"107",107,2
"108",108,2
"109",109,2
"110",110,2
"111",111,2
"112",112,2
"113",113,2
"114",114,2
"115",115,2
"116",116,2
"117",117,2
"118",118,1
"119",119,1
"120",120,1
"121",121,1
"122",122,3
"123",123,3
"124",124,3
"125",125,3
"126",126,3
"127",127,3
"128",128,3
"129",129,3
"130",130,3
"131",131,3
"132",132,3
"133",133,3
"134",134,3
"135",135,3
"136",136,3
"137",137,3
"138",138,3
"139",139,3
"140",140,3
"141",141,3
"142",142,3
"143",143,3
"144",144,3
"145",145,3
"146",146,3
"147",147,3
"148",148,3
"149",149,3
"150",150,3
"151",151,3
"152",152,3
"153",153,3
"154",154,3
"155",155,3
"156",156,3
"157",157,3
"158",158,3
"159",159,3
"160",160,3
"161",161,3
"162",162,3
"163",163,3
"164",164,3
"165",165,3
"166",166,3
"167",167,3
"168",168,3
"169",169,3
"170",170,3
"171",171,3
"172",172,3
"173",173,3
"174",174,3
"175",175,3
"176",176,3
"177",177,3
"178",178,3
"179",179,3
"180",180,3
"181",181,3
"182",182,3
"183",183,3
"184",184,3
"185",185,3
"186",186,3
"187",187,3
"188",188,3
"189",189,3
"190",190,3
"191",191,3
"192",192,3
"193",193,3
"194",194,3
"195",195,3
"196",196,3
"197",197,3
"198",198,3
"199",199,3
"200",200,3
"201",201,3
"202",202,3
"203",203,3
"204",204,3
"205",205,3
"206",206,3
"207",207,3
"208",208,3
"209",209,3
"210",210,3
"211",211,3
"212",212,3
"213",213,3
"214",214,3
"215",215,3
"216",216,3
"217",217,3
"218",218,3
"219",219,3
"220",220,3
"221",221,3
"222",222,1
"223",223,1
"224",224,1
"225",225,1
"226",226,2
"227",227,2
"228",228,2
"229",229,2
"230",230,2
"231",231,2
"232",232,2
"233",233,2
"234",234,2
"235",235,2
"236",236,2
"237",237,2
"238",238,2
"239",239,2
"240",240,2
"241",241,2
"242",242,2
"243",243,2
"244",244,2
"245",245,2
"246",246,1
"247",247,1
"248",248,1
"249",249,1
"250",250,1
"251",251,2
"252",252,2
"253",253,2
"254",254,2
"255",255,2
"256",256,2
"257",257,2
"258",258,2
"259",259,2
"260",260,2
"261",261,2
"262",262,2
"263",263,2
"264",264,2
"265",265,1
"266",266,1
"267",267,1
"268",268,1
"269",269,1
"270",270,2
"271",271,2
"272",272,2
"273",273,2
"274",274,2
"275",275,2
"276",276,2
"277",277,2
"278",278,2
"279",279,2
"280",280,2
"281",281,2
"282",282,2
"283",283,2
"284",284,2
"285",285,2
"286",286,2
"287",287,2
"288",288,2
"289",289,2
"290",290,2
"291",291,2
"292",292,2
"293",293,2
"294",294,2
"295",295,2
"296",296,2
"297",297,2
"298",298,2
"299",299,2
"300",300,2
"301",301,2
"302",302,2
"303",303,2
"304",304,2
"305",305,2
"306",306,2
"307",307,2
"308",308,2
"309",309,2
"310",310,1
"311",311,1
"312",312,2
"313",313,2
"314",314,2
"315",315,2
"316",316,2
"317",317,2
"318",318,2
"319",319,2
"320",320,2
"321",321,2
"322",322,2
"323",323,2
"324",324,2
"325",325,2
"326",326,2
"327",327,2
"328",328,2
"329",329,2
"330",330,2
"331",331,2
"332",332,1
"333",333,1
"334",334,1
"335",335,1
"336",336,1
"337",337,1
"338",338,1
"339",339,1
"340",340,1
"341",341,1
"342",342,3
"343",343,3
"344",344,3
"345",345,3
"346",346,3
