ID,ID2,Locality,Environment,Sex,Aridity,Temperature,Geolocation,TBPLS,Captivity,#
Koala_NR2143,Koala_1A,NA,NA,NA,NA,NA,No,TBPLS,Wild,4
Koala_NR2145,Koala_1B,NE/NSW,ODB,F,1.167463,18,Yes,TBPLS,Wild,17
Koala_NR1355,Koala_1C,NA,NA,NA,NA,NA,No,TBPLS,Wild,27
Koala_NR1499,Koala_1D,CE/NSW,R,F,0.78089845,17.9,Yes,TBPLS,Wild,23
Koala_NR0862,Koala_1E,SE/QLD,R,NA,NA,NA,No,TBPLS,Wild,19
Koala_NR1098,Koala_1F,FE/VIC,TO,NA,0.9357388,14.6,Yes,TBPLS,Wild,5
Koala_NR2104,Koala_2A,NE/NSW,ODB,M,1.167463,18,Yes,TBPLS,Wild,20
Koala_NR2105,Koala_2B,NEW/NSW,O,M,0.6035603,19.1,Yes,TBPLS,Wild,6
Koala_NR2106,Koala_2C,NE/NSW,ODB,M,1.167463,18,Yes,TBPLS,Wild,18
Koala_NR2127,Koala_2D,NE/NSW,ODB,M,1.167463,18,Yes,TBPLS,Wild,21
Koala_NR2128,Koala_2E,FNE/NSW,O,F,0.6035603,19.1,Yes,TBPLS,Wild,10
Koala_NR2129,Koala_2F,NE/NSW,ODB,M,1.167463,18,Yes,NA,Wild,9
Koala_NR2112,Koala_3A,NE/NSW,ODB,M,1.167463,18,Yes,TBPLS,Wild,25
Koala_NR2113,Koala_3B,NA,NA,NA,NA,NA,No,NA,Wild,24
Koala_NR2097,Koala_3C,NA,NA,NA,NA,NA,No,TBPLS,Wild,16
Koala_NR2102,Koala_3D,NA,NA,M,NA,NA,No,TBPLS,Wild,15
Koala_NR2103,Koala_3E,NE/NSW,ODB,M,1.167463,18,Yes,TBPLS,Wild,8
Koala_NR2137,Koala_3F,NA,NA,NA,NA,NA,No,TBPLS,Wild,1
Koala_NR2138,Koala_3G,NA,NA,F,NA,NA,No,TBPLS,Wild,14
Koala_NR2139,Koala_3H,NE/NSW,ODB,NA,1.167463,18,Yes,TBPLS,Wild,11
Koala_Bimbo_Mandible,Koala_Bimbo,CAP,CAP,F,NA,NA,No,TBPLS,Captive,26
Koala_Brenda_Mandible,Koala_Brenda,CAP,CAP,F,NA,NA,No,NA,Captive,3
Koala_Cascade_Mandible,Koala_Cascade,CAP,CAP,F,NA,NA,No,TBPLS,Captive,7
Koala_Cedar_Mandible,Koala_Cedar,CAP,CAP,F,NA,NA,No,NA,Captive,12
Koala_Crockett_Mandible,Koala_Crockett,CAP,CAP,M,NA,NA,No,TBPLS,Captive,22
Koala_Eddie_Mandible,Koala_Eddie,CAP,CAP,M,NA,NA,No,TBPLS,Captive,2
Koala_Mandy_Mandible,Koala_Mandy,CAP,CAP,F,NA,NA,No,NA,Captive,13
