ID,ID2,Species,Locality,Environment,Sex,Aridity,Temperature,Geolocation,TBPLS,#
CW_NR0654,CW_0654,Common wombat,S/NSW,G,NA,0.9535756,13.2,Yes,Nil,55
CW_NR0718,CW_0718,Common wombat,NA,NA,F,NA,NA,No,CWTBPLS,26
CW_M1937,CW_1_Ant_L,Common wombat,FSE/SA,SE,F,0.8650968,14.2,Yes,CWTBPLS,20
CW_M22220,CW_1_Extra,Common wombat,SE/SA,DS,F,0.45742047,15.2,Yes,CWTBPLS,12
CW_M11977,CW_1_Pos_L,Common wombat,FSE/SA,S,M,0.878041,13.9,Yes,CWTBPLS,10
CW_M21375,CW_1_Pos_R,Common wombat,N/TAS,SG,F,0.73127985,12.9,Yes,CWTBPLS,19
CW_NR1328,CW_1328,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,23
CW_NR1351,CW_1351,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,28
CW_NR1352,CW_1352,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,53
CW_NR1353,CW_1353,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,31
CW_NR1609,CW_1609,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,14
CW_M29,CW_2_Ant_L,Common wombat,C/TAS,SG,F,1.3174196,6.3,Yes,Nil,9
CW_M1943,CW_2_Ant_R,Common wombat,FSE/SA,S,M,0.89941716,13.8,Yes,CWTBPLS,32
CW_M11973,CW_2_Extra,Common wombat,N/TAS,SG,M,0.73127985,12.9,Yes,CWTBPLS,4
CW_M11,CW_2_Pos_L,Common wombat,FSE/SA,S,F,0.89941716,13.8,Yes,CWTBPLS,18
CW_M68,CW_2_Pos_R,Common wombat,NE/TAS,S,M,0.8513396,13.2,Yes,CWTBPLS,17
CW_M1942,CW_3_Ant_L,Common wombat,S/NSW,S,M,1.2658747,11.8,Yes,CWTBPLS,25
CW_M11968,CW_3_Ant_R,Common wombat,C/TAS,SG,M,1.3174196,6.3,Yes,CWTBPLS,24
CW_M3721,CW_3_Pos_L,Common wombat,FSE/SA,SE,M,0.7629677,14.4,Yes,CWTBPLS,21
CW_M11976,CW_3_Pos_R,Common wombat,N/TAS,SG,F,0.73127985,12.9,Yes,CWTBPLS,3
CW_JM5397,CW_JM5397,Common wombat,FS/NSW,T,NA,2.277173,5.5,Yes,Nil,22
NHNW_B118,NHNW_B118,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,41
NHNW_B14,NHNW_B14,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,42
NHNW_B34,NHNW_B34,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,43
NHNW_B71,NHNW_B71,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,47
NHNW_J14051,NHNW_J14051,NHN wombat,NA,NA,F,0.23559456,23.4,Yes,NHNWTBPLS,33
NHNW_JM12487,NHNW_JM12487,NHN wombat,NA,NA,M,0.23559456,23.4,Yes,NHNWTBPLS,54
NHNW_JM18942,NHNW_JM18942,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,45
NHNW_JM19739,NHNW_JM19739,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,44
NHNW_JM2546,NHNW_JM2546,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,40
NHNW_JM7474,NHNW_JM7474,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,39
NHNW_JM8466,NHNW_JM8466,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,34
NHNW_SNC1,NHNW_SNC1,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,46
NHNW_SNC2,NHNW_SNC2,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,36
SHNW_M8746,SHNW_1_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,8
SHNW_M8887,SHNW_1_Extra,SHN wombat,SE/SA,SBM,M,0.19493218,16.9,Yes,SHNWTBPLS,11
SHNW_M8748,SHNW_1_Pos_L,SHN wombat,SW/SA,SB,F,0.11024185,17.3,Yes,SHNWTBPLS,16
SHNW_M8801,SHNW_1_Pos_R,SHN wombat,SE/SA,MXD,F,0.19729282,16.9,Yes,SHNWTBPLS,15
SHNW_NR1326,SHNW_1326,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,29
SHNW_NR1348,SHNW_1348,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,27
SHNW_NR1349,SHNW_1349,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,30
SHNW_M8807,SHNW_2_Ant_L,SHN wombat,SE/SA,T,F,0.19492234,17,Yes,SHNWTBPLS,37
SHNW_M8749,SHNW_2_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,38
SHNW_M8867,SHNW_2_Extra,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,48
SHNW_M8827,SHNW_2_Pos_L,SHN wombat,SE/SA,T,M,0.19492234,17,Yes,Nil,49
SHNW_M8752,SHNW_2_Pos_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,50
SHNW_M8774,SHNW_3_Ant_L,SHN wombat,SC/SA,SBM,F,0.14122017,17.4,Yes,SHNWTBPLS,13
SHNW_M8952,SHNW_3_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,1
SHNW_M8892,SHNW_3_Pos_L,SHN wombat,SC/SA,SBM,M,0.14122017,17.4,Yes,SHNWTBPLS,35
SHNW_M8951,SHNW_3_Pos_R,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,2
SHNW_F_Good_Teeth,SHNW_F_Good_Teeth,SHN wombat,CSW/SA,DS,F,0.14424941,17.1,Yes,Nil,52
SHNW_F_Poor_Teeth,SHNW_F_Poor_Teeth,SHN wombat,CSW/SA,DS,F,0.14424941,17.1,Yes,SHNWTBPLS,7
SHNW_Holly,SHNW_Holly,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,51
SHNW_M_Good_Teeth,SHNW_M_Good_Teeth,SHN wombat,CSW/SA,DS,M,0.14424941,17.1,Yes,SHNWTBPLS,6
SHNW_Mr_Fox,SHNW_Mr_Fox,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,5
