Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2112,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo,Koala_Cascade,Koala_Cindy,Koala_Crockett,Koala_Eddie
X Zygomatic suture origin R,11.03298492,-75.67630005,12.77849808,-74.21463623,14.53507385,-71.68516235,29.53377075,-55.82641602,32.95912781,-45.81033325,31.39016724,-82.70686646,-80.36057129,4.420152664,-78.27357788,6.821559906,-67.54893188,11.44408112,-30.48967285,-38.79682617,-35.94745178,-33.31437073,-34.05920105
Y Zygomatic suture origin R,1.481866169,0.512391376,241.2595215,204.8804443,481.2875488,449.7892578,4.145794678,-10.29609146,228.2985352,221.3709473,465.6600586,14.75509796,249.905957,223.0515625,495.851709,457.9600098,700.4274414,700.0976074,42.7412323,26.54329529,118.2156006,32.64759827,24.59060059
Z Zygomatic suture origin R,-634.8395996,-633.5867188,-636.6682129,-633.1744141,-637.4599121,-629.7807617,-573.5162109,-571.9994629,-582.3878906,-571.8857422,-577.3593262,-820.6135742,-818.1847168,-832.7255859,-818.9647461,-828.6257813,-827.046875,-829.084375,-1224.656641,-1230.350488,-1270.800879,-1218.467383,-1210.053125
X Zygomatic suture origin L,74.89946289,-20.48642426,81.3921936,-16.80554047,79.45263062,-4.963203049,93.62072144,5.15087204,93.60899048,9.1657341,99.918396,-19.40040131,-9.165027618,61.92272949,-12.12037277,68.146521,-18.19911499,85.59441528,29.15486755,19.65665894,21.86739197,34.2908905,35.86069946
Y Zygomatic suture origin L,2.006100845,-0.40428977,240.319458,204.9929688,476.610791,449.1302246,0.917372036,-12.62700958,227.1042725,219.0460449,461.6385254,13.60179291,247.3670654,223.456958,492.1293457,455.2604492,700.7359375,700.8362793,39.99942017,36.37615356,120.912793,29.35954895,28.55239868
Z Zygomatic suture origin L,-622.8397461,-645.0753906,-625.3163574,-643.9122559,-626.5351563,-638.8486328,-557.8746094,-577.038623,-571.322998,-576.5963867,-559.9837402,-831.4238281,-829.5432617,-823.9130859,-828.9318359,-818.5641113,-833.9629883,-816.2205078,-1219.199219,-1220.555078,-1254.294336,-1212.503711,-1206.265625
X Zygomatic suture (proximal) (extra) R,11.97389145,-76.8975708,14.02036285,-74.29658203,15.25309448,-73.74920044,31.28431702,-56.19368286,34.42388611,-46.01931763,32.32558594,-83.66775513,-80.22518311,4.939242554,-78.19804688,6.78707428,-68.57950439,11.97743835,-29.68794861,-37.12529907,-35.1776947,-32.63600769,-32.80029907
Y Zygomatic suture (proximal) (extra) R,0.650574207,0.077196985,237.8892822,203.7828735,477.7248047,446.8633789,2.034181213,-11.96624908,228.0398438,220.4820068,463.5572754,13.98346252,249.2229004,222.3102783,495.4756348,456.1157227,699.1177734,698.3310059,39.41836853,25.53338928,116.953772,29.83417664,20.80440063
Z Zygomatic suture (proximal) (extra) R,-639.1854004,-637.2712402,-641.7626953,-636.9914551,-642.967334,-635.7201172,-579.6625488,-576.3083496,-585.2952148,-575.1396484,-582.2102539,-823.5400391,-821.0267578,-837.028125,-822.115625,-834.1558594,-830.6658203,-833.2169922,-1230.109668,-1233.557422,-1274.104395,-1223.677441,-1214.588867
X Zygomatic suture (proximal) CUR R 5,12.02489548,-77.04437256,13.45457001,-74.57036133,15.10861511,-73.69763794,30.8572937,-56.15322876,34.45910034,-46.23992615,32.3414093,-83.75046387,-80.17038574,4.880066681,-78.60613403,7.075259399,-69.34551392,11.84190216,-30.71242676,-37.89181824,-35.58999023,-32.89656982,-33.85480042
Y Zygomatic suture (proximal) CUR R 5,3.671909332,1.657621574,242.093457,206.5670898,481.9311523,450.6756836,5.539468002,-9.365007019,230.2215576,223.7284424,466.669873,16.46370392,252.1892578,224.8161133,498.7682617,459.9695801,701.9044922,701.6155762,42.68139648,28.21037903,119.2125854,33.90093079,25.56360016
Z Zygomatic suture (proximal) CUR R 5,-639.3974609,-636.292041,-641.8694824,-637.2155762,-643.0188477,-635.6124512,-579.5825684,-576.511377,-585.2591797,-575.7326172,-581.8729004,-823.4603516,-821.2907227,-836.5819336,-822.2953125,-833.9688477,-830.8040039,-833.2463867,-1230.216504,-1233.448926,-1274.804492,-1223.443164,-1214.916016
X Zygomatic suture (proximal) CUR R 4,12.06271896,-77.03988037,13.09816132,-74.99075928,14.86347046,-73.75040283,30.62390442,-56.1293396,34.47268372,-46.54162598,32.60824585,-83.46571045,-80.17056274,5.028001785,-79.06417847,7.038348389,-69.92498779,11.76420593,-30.77783813,-38.4868866,-35.92374878,-32.88283081,-34.53999939
Y Zygomatic suture (proximal) CUR R 4,8.053630066,4.767945099,246.8668945,210.0302246,485.6897461,456.0518555,8.985375214,-6.30592041,233.7878662,228.5883789,471.048291,19.80040131,256.49021,228.3499023,503.1303711,464.1754883,705.3683105,705.823877,46.89143982,31.63530579,122.2983398,38.22478027,30.69240112
Z Zygomatic suture (proximal) CUR R 4,-639.8315918,-635.3600098,-641.9402344,-637.614502,-642.9625,-634.9080566,-579.7077148,-576.5708008,-585.1004395,-575.9668945,-581.1536621,-823.7401367,-821.3474609,-836.3677734,-822.4530273,-833.784668,-830.6667969,-833.5030273,-1230.116211,-1233.60332,-1275.19375,-1223.292871,-1215.134082
X Zygomatic suture (proximal) CUR R 3,12.52013092,-76.40670776,13.25362854,-75.16958618,15.07008514,-73.41399536,30.87759705,-56.03495483,34.73056946,-46.53892822,33.52637634,-82.61521606,-79.98067017,5.735359192,-79.12781372,7.308184814,-70.02828369,12.1472847,-30.13916321,-38.75557251,-35.71297913,-32.14495544,-34.15150146
Y Zygomatic suture (proximal) CUR R 3,12.827948,8.528821564,251.6236084,213.5806885,489.1242676,461.5833984,12.55728607,-2.885269737,237.6408203,233.4809082,475.7355469,23.85159607,260.8879639,232.2999268,507.6657715,468.4117676,708.7225586,710.3425293,50.83007813,35.18240051,125.6374634,42.63610535,35.74219971
Z Zygomatic suture (proximal) CUR R 3,-639.8823242,-635.4880859,-642.2311035,-638.1713867,-643.061377,-634.3084961,-579.8307617,-576.4556641,-584.7025879,-576.2069824,-580.2537109,-824.6763672,-822.2467773,-835.8459961,-822.5780273,-833.6141602,-830.9279297,-833.896875,-1230.241992,-1233.919336,-1275.266602,-1223.13584,-1215.724609
X Zygomatic suture (proximal) CUR R 2,13.86440277,-75.30546875,14.30446777,-74.62175903,16.05720062,-72.26933594,32.10144348,-55.43718872,35.43013,-45.90671997,35.15255432,-81.82965698,-78.94468994,6.864884186,-78.57603149,8.510767365,-69.71405029,13.62776031,-28.97075806,-38.73973083,-34.67400513,-30.47023926,-33.48619995
Y Zygomatic suture (proximal) CUR R 2,17.94370422,12.41655426,256.351123,217.1010742,492.740332,467.326123,16.66891022,1.228696823,241.8228516,238.1668945,480.2233887,28.32330933,265.1092285,236.7802979,511.9045898,472.5624023,712.0882813,714.9541016,54.48374023,38.99024963,129.1245972,47.19946594,40.44580078
Z Zygomatic suture (proximal) CUR R 2,-639.5067383,-636.0915527,-642.7573242,-638.774707,-643.7170898,-634.9612305,-579.8834473,-577.1021973,-584.1500488,-577.2233887,-580.430957,-825.5689453,-823.6636719,-835.6318359,-823.4347656,-833.4250977,-831.9827148,-834.5735352,-1230.591602,-1234.42334,-1275.912012,-1223.335742,-1217.136426
X Zygomatic suture (proximal) CUR R 1,16.24369202,-74.13311157,17.01619263,-73.11460571,17.64799652,-70.53659058,34.98458557,-54.10551758,36.5955719,-44.85410156,37.36842346,-80.53096313,-76.90195923,8.304089355,-77.35545654,10.41310196,-68.58312988,16.26608429,-26.99293518,-38.11218567,-32.60213623,-27.78766785,-31.91740112
Y Zygomatic suture (proximal) CUR R 1,23.54026947,16.33245239,261.0409912,220.8826172,496.8583496,473.5181152,22.02877045,6.510707855,246.4297607,242.6755859,484.6465332,33.06127319,269.6127686,240.9149414,516.536084,477.3921387,715.8445313,719.7605957,58.1269043,43.13353577,133.1501587,52.18605347,44.78640137
Z Zygomatic suture (proximal) CUR R 1,-640.1662109,-637.9112793,-642.4079102,-639.8440918,-644.9916504,-637.5329102,-580.7602539,-577.9666992,-583.859668,-579.9874512,-581.1343262,-826.5461914,-825.2577148,-837.5688477,-825.0829102,-834.1880859,-833.5245117,-835.7954102,-1231.848828,-1235.623145,-1276.86084,-1224.597461,-1219.294922
X Zygomatic suture (proximal) (extra) L,75.67103882,-21.44667053,81.11126099,-18.34545441,80.87149658,-5.153371811,94.43079834,4.666065979,93.34783936,8.849256897,101.1519531,-19.5139801,-10.12723312,62.93916016,-13.59027863,70.30003662,-18.20540619,86.10696411,29.70771179,19.53922577,23.21246033,34.04489746,35.36279907
