Name,CW_NR0718,CW_M1937,CW_M22233,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_J11665,CW_J5422,CW_J6203A,CW_J6203B,CW_Wombat_Common,NHNW_B118,NHNW_B131,NHNW_B135,NHNW_B14,NHNW_B40,NHNW_B42,NHNW_B79,NHNW_B93_Anomaly,NHNW_J13143,NHNW_J13144,NHNW_J13145,NHNW_J14051,NHNW_J6239,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM7475,NHNW_JM8463,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8783,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_J16968,SHNW_J17772,SHNW_Kyle,SHNW_M_Good_Teeth,SHNW_M_Poor_Teeth,SHNW_Mr_Fox
X Zygomatic suture origin R,-59.53743896,26.29199829,-110.7490112,-52.52830811,15.4303833,-115.2781616,-52.22628784,-59.02268677,-63.97449341,-48.68164978,-60.69884033,-112.6306519,-46.37780151,17.98946991,-113.5362183,28.52559204,-116.5751465,1.941288376,-113.2136475,-55.90321655,-56.49622192,-55.61046753,-56.08240967,-53.54026489,-52.30808105,-62.65585938,-64.71695557,-62.35020752,-59.63135376,-61.65296631,-62.16806641,-62.33365479,-53.17683716,-54.9447876,-58.46064453,-60.96884766,-63.00144653,-51.93244019,-55.52780762,-61.85911865,-65.41791382,-59.21186523,-63.0921875,-58.87780762,-69.77437744,-58.10866699,-52.18575439,15.14834595,-108.5809692,-66.42446289,8.669320679,-111.6176147,-50.28279419,-48.65325317,-52.98156738,19.37699738,-103.7726685,-52.30792847,-109.0645996,14.14837952,-103.1963257,6.556335449,-121.3209961,-50.63576355,-42.77940063,-45.10116882,-43.90334778,-49.09907227,-58.79970093,-38.05415039,-39.03740234
Y Zygomatic suture origin R,72.23903809,-36.77935791,-28.45949402,538.7462402,250.7394531,267.0966064,38.34289856,93.24092407,54.76228638,22.2213974,24.91689453,-45.78547668,536.2349121,263.7282471,258.441748,-15.48010406,-5.245333481,285.3547119,279.6391846,38.01791382,49.3385498,-4.729155731,42.93962402,31.88114624,32.00117493,33.93374023,35.17663879,36.71652222,36.77554932,38.92969666,31.45921326,31.71734009,44.9546814,40.03403015,36.25238647,42.55370483,35.16657715,50.5790802,-14.46441803,-1.680896187,62.64366455,-3.776123047,52.33154907,30.54301453,48.80750427,34.20903625,46.08577576,-37.38070068,-34.1201416,503.9334961,252.8932373,254.4383789,57.19536133,59.39510498,58.74320679,-37.0130249,-52.23397217,500.7654785,244.1025391,-40.56584473,-63.45690918,250.4830811,250.1046631,-17.2856369,8.618699646,38.78365479,49.36640015,-4.162615585,-17.16793671,-39.06135864,-26.54888306
Z Zygomatic suture origin R,-248.0321533,-814.3616699,-795.8442383,-819.1600098,-815.6731445,-794.6178223,-545.7683594,-605.9865234,-963.9498047,-224.2789551,-872.6961914,-766.163916,-787.6749512,-788.4726563,-765.7436035,-543.5427246,-522.4088867,-545.4708008,-519.7257324,-1264.415625,-1268.416992,-655.3662109,-1255.833105,-850.8424805,-1257.995605,-1270.112109,-1023.631543,-1258.336328,-1270.711621,-1272.574023,-1011.101465,-1280.3125,-1262.241406,-974.8936523,-1258.069238,-1256.683594,-1250.324023,-1263.95166,-959.4288086,-947.0072266,-1270.384473,-926.1953125,-1260.957715,-1259.601953,-1003.057813,-1004.429102,-1273.635742,-887.7609375,-866.837793,-882.3230469,-893.5402344,-857.8394531,688.9138184,376.3470947,995.8575195,-762.1952148,-737.1134277,-758.2316406,-741.6698242,-520.6547363,-496.9391113,-524.1293945,-488.9155273,-840.6043945,-896.7893555,-1255.201953,-1257.51748,-1002.906738,-861.5272461,-850.6441406,-879.6319336
X Zygomatic suture origin L,53.27315063,116.6697876,-2.5427248,55.31616821,107.2180054,-4.201064682,51.18416748,60.95158691,47.32958679,53.58215332,55.88092041,-11.03020096,56.95165405,105.4879639,-10.92554016,120.0203613,1.480756283,110.725293,-24.41685638,54.53301392,57.03673706,58.81159668,54.03127441,56.10564575,54.30553589,64.93258667,58.0869873,57.03488159,59.29065552,61.84319458,61.88292847,58.87666626,51.37589722,51.83245239,54.22435303,57.04975586,64.94656372,55.55636597,53.79647217,65.11790161,62.0713623,57.15047607,60.93694458,53.77311401,55.93180542,61.41391602,53.80808716,117.5971558,-10.1577034,34.34406738,103.4538574,-22.23279419,48.91312866,56.22235107,49.69186401,121.8943848,-6.354821396,45.09906006,-8.811419678,111.7376221,-7.390180206,104.3779297,-18.07951813,53.01815186,49.03150024,46.15069885,46.71526794,39.46966248,36.87637329,62.05806885,64.48053589
Y Zygomatic suture origin L,70.64893799,-28.29677124,-27.79242859,544.7742676,249.9075195,271.7738037,35.99480896,89.41630249,54.61801147,21.50881805,27.29235229,-38.71807556,531.1909668,262.7822754,261.0587402,-18.08005829,-12.16321182,295.7045654,281.9375488,39.0204895,49.39041138,-3.37389679,40.69570007,30.01108704,33.03308716,40.78126221,36.83725281,38.00098267,35.68673096,38.53210144,29.75152893,31.44382935,47.48739319,39.34292603,37.6884552,46.36795044,33.25149231,50.81203918,-18.24186401,-0.4330163,65.03266602,-6.940787506,49.5327179,31.33408508,49.39672852,37.85421448,46.6875824,-38.76167603,-30.01687927,511.6258301,252.7969971,266.6009521,56.79674072,63.09405518,62.33224487,-37.16394958,-49.23583679,504.459082,249.3903809,-39.72419434,-48.46768188,250.6158691,254.559082,-13.34742584,9.111499786,37.38569946,47.60572205,-2.736755371,-12.50784836,-41.46718445,-21.32810669
Z Zygomatic suture origin L,-251.1409424,-790.5439453,-815.1651367,-820.4859375,-800.0302734,-814.9794922,-544.878125,-602.8874512,-967.8219727,-226.5339355,-873.3466797,-789.8651855,-783.9151367,-765.6000977,-790.0335449,-514.9429199,-544.4598145,-537.2738281,-541.376416,-1265.425879,-1277.209961,-657.7629395,-1260.510449,-850.584375,-1266.384863,-1279.120801,-1024.69209,-1259.117188,-1276.041699,-1277.373242,-1015.337598,-1279.11748,-1263.591309,-978.7636719,-1257.53584,-1255.287988,-1255.803418,-1280.077832,-953.1450195,-944.9068359,-1269.667773,-922.234668,-1265.603906,-1262.424219,-1000.985352,-1015.615039,-1279.969531,-860.1891602,-883.9545898,-890.2861328,-874.5744141,-884.3583984,690.648877,377.3337891,999.8435547,-731.6744141,-760.19375,-760.8458496,-763.3726563,-497.1845703,-522.6281738,-495.8787598,-519.6317383,-843.4958984,-909.7044922,-1261.085645,-1260.603418,-998.8318359,-849.2039063,-858.6816406,-885.7431641
X Zygomatic suture (proximal) CUR R 5,-60.36769409,27.87278442,-113.4888062,-54.40339966,15.64276276,-116.5750488,-53.29803467,-58.95192261,-63.7890686,-49.06810303,-59.81911011,-115.3821655,-46.66946411,18.78846283,-117.365625,29.06684265,-117.1856323,1.862953377,-116.4289307,-56.86055298,-58.88171997,-54.9854126,-58.534729,-56.23546753,-52.55680542,-63.66126709,-64.68164063,-62.82275391,-60.33572998,-63.62174072,-62.81723022,-62.63547363,-54.00587158,-56.28059692,-59.69216919,-60.19789429,-64.15692749,-51.39553223,-54.19897461,-61.66829224,-66.18209229,-59.97697754,-62.44215088,-58.30505981,-69.690448,-56.12893066,-51.69112549,14.94720001,-109.8135498,-69.38058472,9.369648743,-114.0941528,-51.46873169,-49.48803711,-53.99641113,19.58163452,-107.9892822,-53.72462769,-111.628772,15.41294556,-105.7440918,7.414374542,-122.1579956,-50.41884155,-43.5651001,-46.63224182,-45.35617981,-48.0334259,-58.33262939,-37.47933044,-40.09044189
Y Zygomatic suture (proximal) CUR R 5,70.61433105,-37.00158081,-29.39666748,540.9331543,253.4850098,267.661084,39.41984253,94.97282715,56.09901733,23.33786926,25.01333466,-45.99844971,539.5371582,262.8436279,258.9230225,-15.12780914,-4.295243454,286.3251465,280.9135986,35.96730347,49.80462036,-4.146083832,43.00494995,31.70627747,33.6756012,36.35891418,36.53011169,36.46859741,37.31258545,42.26431274,33.0033905,34.82043152,47.25521851,43.41166992,39.02171936,42.56824951,38.17369385,50.25505371,-12.50902481,-0.194232559,65.01308594,0.002767524,53.55178833,31.44038391,48.69265137,37.74622192,47.77163696,-34.2491272,-32.17972717,506.4063477,255.8294189,256.0379883,59.8977356,62.15317383,61.32648926,-33.83956604,-50.90655823,504.3388672,247.2174072,-39.16248169,-60.77440186,252.5424805,252.9488281,-15.41196747,13.09669952,41.53035889,51.15819702,-2.000926971,-14.35365295,-37.06265869,-22.68382416
Z Zygomatic suture (proximal) CUR R 5,-256.246582,-820.0895508,-800.8830078,-823.7203125,-822.0569336,-799.7555176,-551.732959,-614.3649902,-970.1486328,-229.6994629,-878.2666992,-770.590332,-794.1385254,-795.2890137,-771.0021973,-549.1592285,-528.0337402,-550.740332,-525.6558105,-1271.22334,-1276.425879,-661.0644531,-1262.09668,-857.6016602,-1263.917383,-1278.938184,-1030.782617,-1265.538086,-1278.063867,-1278.721484,-1017.18457,-1286.792285,-1266.991699,-981.1869141,-1264.466895,-1262.694629,-1258.021875,-1269.443945,-965.8848633,-952.6079102,-1277.408105,-933.1551758,-1269.292871,-1264.674023,-1012.81416,-1010.983008,-1279.724902,-892.4751953,-871.9575195,-886.3762695,-897.4723633,-861.2125977,685.1741211,370.9701416,991.1407227,-768.2813477,-742.3762695,-762.5226563,-746.8164551,-526.1175293,-502.0132324,-529.2427246,-494.2885742,-845.530957,-897.2584961,-1258.59668,-1261.830664,-1007.091406,-867.3731445,-855.9145508,-884.5623047
X Zygomatic suture (proximal) CUR R 4,-63.78130493,24.56512604,-115.2346069,-56.01930542,13.00594025,-118.3655884,-55.18109131,-59.94574585,-64.60875244,-49.96973877,-61.49501343,-116.0607544,-49.35322571,16.76335297,-119.0867188,27.5737793,-117.9462158,0.219279361,-118.4685791,-58.38168945,-60.7848938,-56.37785034,-60.21978149,-57.98865356,-53.98059692,-65.26013794,-66.67016602,-64.29771118,-61.47167969,-64.76687622,-64.27427979,-64.18574219,-56.4784668,-57.76810913,-61.4062561,-61.7637146,-65.63191528,-52.90423584,-55.02634277,-62.24116821,-68.06903687,-61.33602905,-64.26605225,-58.98956909,-71.13886108,-57.72891235,-52.45940552,14.74420013,-110.3011963,-69.92260742,9.576651764,-114.9080566,-51.76984863,-49.8452179,-54.76412964,19.98616943,-108.4382202,-54.11003418,-112.0116577,15.4901474,-107.0190186,7.541401672,-123.5184692,-50.7785553,-43.99140015,-47.36066589,-45.44483032,-47.88807678,-59.22554932,-37.98627319,-39.84011536
Y Zygomatic suture (proximal) CUR R 4,75.60847778,-32.16001282,-24.43393555,545.8990234,258.5702148,272.3473877,43.9403595,98.80192871,61.3779541,28.15830688,29.31336975,-42.27733154,544.9546387,267.701416,263.6912598,-10.72305145,0.559927368,291.1507813,285.5654785,40.5661499,55.20483398,0.700058079,48.45237732,37.04343872,36.77437439,39.7943573,39.62321777,39.77170105,40.65337524,46.54445801,36.32849731,37.52139587,49.96767883,46.91827698,42.46375122,46.35335999,42.904776,53.46473999,-9.498752594,3.145141792,68.34157104,3.194739342,56.14169922,34.03768311,52.32796631,41.68637085,49.89655151,-31.77657166,-30.04585266,508.3522461,257.8444092,257.6953613,61.81033936,64.00125122,63.61430054,-31.87374268,-48.89741821,506.5568359,248.9010254,-37.42635498,-58.89153442,254.5333984,255.4423584,-13.55022278,15.39309998,43.61737976,52.44030151,-0.258451104,-12.04047775,-35.15249634,-19.65493622
