Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2129,Koala_NR2112,Koala_NR2113,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo_Mandible,Koala_Brenda_Mandible,Koala_Cascade_Mandible,Koala_Cedar_Mandible,Koala_Crockett_Mandible,Koala_Eddie_Mandible,Koala_Mandy_Mandible
X Symphyseal groove CUR 7,42.88199768,-56.68903809,47.61358032,-50.34363403,49.83157043,-44.53764648,59.02528687,-28.58839111,64.03361816,-20.85823822,67.33331909,-18.43568726,-55.53721313,23.04029694,-46.52818604,34.33718872,-53.98756104,33.86687622,-47.20946045,41.84185791,3.595619583,0.559993029,4.841585159,-14.37086792,3.444483948,7.838500214,3.71857872
Y Symphyseal groove CUR 7,-167.8529053,-132.1772705,89.76924438,71.81112671,332.4082031,295.6515869,-165.7205322,-150.2443115,91.63182983,71.66444092,311.1788818,309.9772949,-131.9781616,-128.0362427,99.70551147,102.2914551,341.4125488,307.9266357,581.7645996,543.9979004,-5.064920044,-13.82617493,-11.3463501,47.21369324,-21.4519516,-28.32709961,-3.067862129
Z Symphyseal groove CUR 7,-656.5213379,-658.5059082,-659.6307617,-662.365332,-663.2356445,-665.8621094,-595.417627,-604.404248,-594.089502,-600.3236328,-600.9015137,-603.1731445,-852.3445313,-856.6168945,-852.8959961,-854.1708984,-851.6742188,-851.6094727,-853.1669922,-847.9173828,-1272.76084,-1270.067383,-1266.595605,-1234.43916,-1268.221289,-1265.763672,-1292.7625
X Symphyseal groove CUR 6,43.41419678,-56.91786499,48.12110901,-50.54642944,49.99862976,-44.60202332,59.75784912,-28.68016357,64.19661865,-20.93905945,67.57372437,-18.6385376,-56.02072754,23.39233246,-47.13914185,34.60884399,-54.2390686,34.25868225,-47.21845398,42.37944641,3.771635056,1.099427223,4.873785019,-14.48143768,3.804201508,8.015599823,3.834892273
Y Symphyseal groove CUR 6,-165.2186279,-131.0950928,91.95489502,73.71800537,334.6949463,297.0397217,-163.5356689,-148.8157593,93.10211792,73.34118652,313.4751953,311.8971436,-129.8093384,-126.120752,102.3058105,103.600293,343.7581543,309.7919678,583.2583008,545.865332,-3.363189697,-12.11930237,-10.26648102,48.98422241,-19.16196747,-25.73429871,-1.222443581
Z Symphyseal groove CUR 6,-659.6169434,-659.7063965,-661.284375,-664.141748,-665.0630859,-666.8314453,-597.438916,-605.5373047,-595.9814941,-602.1436035,-602.3894531,-604.9032227,-854.2253906,-858.2384766,-855.3633789,-855.0925781,-853.512207,-853.3120117,-854.6829102,-850.3388672,-1273.930176,-1272.049707,-1267.805371,-1232.51416,-1270.811914,-1267.940332,-1294.064063
X Symphyseal groove CUR 5,43.72667847,-57.14946899,48.54130859,-50.68157349,50.2245636,-44.66696777,60.43866577,-28.72718506,64.41693726,-21.0553421,67.80939331,-18.81450043,-56.36448975,23.72914734,-47.58023071,34.93475647,-54.65769653,34.65078735,-47.19357605,42.90853882,3.92104187,1.633058739,4.8694664,-14.48066711,4.169432449,8.140200043,3.955634308
Y Symphyseal groove CUR 5,-162.5942383,-129.84823,94.00103149,75.74176025,336.8685059,298.6593018,-161.1897461,-147.2176758,94.88961792,75.17108154,315.7766113,313.6869141,-127.4840454,-123.9836548,104.893103,104.9636841,346.1026123,311.5897949,584.7801758,547.9316406,-1.648676109,-10.21263504,-9.168506622,50.97729797,-16.73190613,-23.43569946,0.594040537
Z Symphyseal groove CUR 5,-662.0413086,-660.824707,-662.8322754,-665.6233398,-666.7763672,-667.8243164,-599.2843262,-606.5984863,-597.5255859,-603.9177734,-603.6740234,-606.5349609,-855.6862305,-859.5961914,-857.2060547,-856.1225586,-855.2183594,-855.0430664,-855.9823242,-852.4477539,-1274.970801,-1273.697852,-1269.203223,-1230.803613,-1272.827441,-1269.982813,-1295.171582
X Symphyseal groove CUR 4,43.9243103,-57.2953125,48.89933167,-50.80795593,50.48661804,-44.75939941,61.12676392,-28.70764465,64.62883911,-21.14011383,68.10525513,-19.02346802,-56.64050293,24.03457489,-48.01506653,35.23352356,-55.11761475,35.11194763,-47.19538574,43.470578,3.981222534,2.213191414,4.833959579,-14.36678467,4.322696304,8.179799652,4.035329819
Y Symphyseal groove CUR 4,-159.5610596,-128.0875488,96.44353638,78.23269043,339.3544189,301.0246826,-158.2937622,-145.1017578,97.18595581,77.5604187,318.5636719,315.7806885,-124.6697754,-121.4283813,107.7941528,106.7844971,348.9303223,313.80271,586.5791504,550.4980957,0.376452208,-8.044261169,-7.712837982,53.09629517,-13.96002502,-20.92769928,2.887356377
