Name,CW_NR0654,CW_NR0718,CW_M1937,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M29,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_JM5397,NHNW_B118,NHNW_B14,NHNW_B34,NHNW_B71,NHNW_J14051,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8827,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Good_Teeth,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_M_Good_Teeth,SHNW_Mr_Fox
X Symphyseal groove CUR 7,5.387770844,-3.048759842,78.72388306,6.876851654,65.05410767,-50.68699341,4.514062881,-2.008435249,-6.609262848,-2.772125626,2.404833221,61.90202637,-51.80599976,4.658460236,54.50303955,-59.77932739,64.33113403,-57.33183594,67.13046265,-60.40209351,0.607348919,-1.573244858,-3.005566978,-3.571522903,-3.832556915,-2.185666275,-0.842036343,1.090733147,1.870773125,-0.13051796,0.009496066,-6.225322723,-2.372801781,-2.668556786,-54.47721558,-4.256488037,59.08917847,-59.77059326,-1.304812241,0.91698761,-7.212755585,66.60037231,-58.20091553,1.362894726,61.56174316,-49.64201965,72.47006226,-51.63200684,60.6319519,-49.5275116,-7.555111694,-1.944342995,-5.26969986,4.018077469,12.0857048
Y Symphyseal groove CUR 7,-147.5575439,-153.3326538,-220.9434326,346.3698242,73.87870483,72.88076782,-168.8859619,-143.2525391,-149.8130981,-171.0890259,-165.230896,-226.78479,-235.5853271,341.7155762,83.42825928,61.26537476,-212.5424316,-230.9348389,88.647052,94.24344482,-45.66483154,-47.22659607,-45.64758911,-29.21773682,-53.58325195,-43.23882446,-38.57598267,-58.90285645,-57.03936768,-63.39810791,-54.87926636,-48.84451599,-57.69324951,-44.94812622,-221.3512695,328.6757324,63.16115112,77.80811768,-142.1200073,-137.510437,-136.4997925,-232.7398193,-250.1864014,322.6974121,62.10616455,57.22605591,-233.1648438,-254.0619873,67.61734619,57.36277466,-91.82938843,-97.42369995,-8.910900116,-79.87637329,-56.08112793
Z Symphyseal groove CUR 7,-219.1410645,-258.9203369,-799.4770996,-811.0664063,-810.0408691,-807.2490234,-542.1422363,-622.2335449,-988.4520508,-224.7536133,-877.0674805,-773.8448242,-786.738916,-784.9984375,-797.2449219,-789.1188965,-546.8943848,-547.3872559,-545.5370117,-555.7989746,-1417.01709,-1418.038086,-1405.475195,-1439.209863,-1143.865332,-1426.324414,-1461.363086,-1130.634668,-1158.150293,-1441.508887,-1122.198438,-1175.547363,-1163.571289,-1416.787207,-873.5413086,-881.8995117,-870.9594727,-881.3033203,686.9345215,361.2816162,978.7905273,-748.5619629,-739.8929688,-755.7486328,-749.9799316,-751.1958008,-494.3831543,-498.7976563,-504.5105469,-506.3583496,-916.2282227,-888.3724609,-985.194043,-917.8660156,-971.750293
X Symphyseal groove CUR 6,5.311781693,-3.263092041,79.59265747,6.963751984,66.27478027,-51.53837891,4.283977509,-2.03053112,-6.301389694,-2.838988495,2.353492928,63.49798584,-52.55574951,4.625769806,55.42505493,-60.83278198,65.76343994,-58.29882813,67.70892944,-62.2026123,0.168053663,-1.808098602,-3.263193512,-3.829005051,-3.805602646,-2.309194374,-1.23143568,1.00593071,1.938827515,-0.385559821,-0.092123508,-5.820128632,-2.689709663,-2.521943665,-55.56204834,-3.864435959,60.79605103,-61.03613892,-1.558584785,1.177921391,-7.071498108,68.14143677,-58.99851074,1.170360565,62.72749023,-50.64380493,73.89139404,-52.96730347,61.7409668,-51.4454895,-7.446128845,-2.061134529,-5.382699966,4.07231102,11.884272
Y Symphyseal groove CUR 6,-142.5564331,-147.2133667,-216.3305908,350.8954346,78.44136963,77.41873779,-164.1387329,-136.5342529,-145.0709106,-166.9880981,-161.2628662,-221.9841797,-230.4755859,345.3637207,87.66890259,67.1031189,-208.1418213,-225.4848145,93.10122681,100.1509033,-39.88675537,-42.21592102,-40.97809753,-25.7430481,-48.78911438,-37.77243652,-33.68203125,-54.75534058,-51.09768372,-59.02229614,-48.09922791,-42.9246582,-52.74616089,-40.15116272,-217.8810303,331.3749756,66.48670654,80.98322754,-138.1539063,-132.8325073,-131.5571167,-228.4436768,-246.8464355,326.1131836,65.36010132,60.05835571,-229.745459,-250.0946533,70.63260498,60.99307251,-87.05481567,-91.63905029,-2.544000053,-73.79239502,-49.03495789
Z Symphyseal groove CUR 6,-223.3679443,-263.6404297,-803.6744141,-815.2710449,-814.6201172,-811.388623,-546.7387207,-626.1262695,-991.7178711,-229.2388916,-882.3946289,-778.3356445,-790.5520508,-789.4618652,-800.4316406,-792.8814941,-549.724707,-550.6693359,-548.9279785,-558.5419434,-1412.80918,-1423.904395,-1410.980859,-1444.042676,-1149.832031,-1431.591406,-1465.839453,-1135.93916,-1163.767383,-1449.161523,-1125.226563,-1181.879492,-1168.941113,-1421.744922,-878.5491211,-887.3341797,-876.5525391,-886.2941406,681.3480469,357.462207,975.4275391,-753.4947266,-745.4834961,-760.8706055,-755.1380859,-756.0390625,-500.2634766,-505.3725098,-509.382959,-512.1069336,-920.0401367,-893.5462891,-984.1116211,-921.1620117,-971.9709961
X Symphyseal groove CUR 5,5.245746613,-3.459919357,80.50476685,7.071865845,67.3980835,-52.66795654,4.054865265,-2.083508682,-6.039009094,-2.814940071,2.107992744,65.07470703,-53.44943237,4.654930115,56.21486816,-62.10939941,67.16065674,-59.25036621,68.06556396,-63.76740112,-0.29227097,-2.049209785,-3.59698143,-4.069145584,-3.729458618,-2.202051544,-1.459378147,1.049380016,1.967069817,-0.795236731,-0.118824112,-5.30633316,-3.155026054,-2.621813202,-56.83531494,-3.528331375,62.7927063,-62.39031982,-1.634521294,1.281137466,-6.981548309,69.73048706,-59.92319946,1.036008739,64.07258911,-51.75436401,75.25095825,-54.3133728,62.82089844,-53.24376221,-7.512653351,-2.052441788,-5.475799942,4.093817139,11.70455627
Y Symphyseal groove CUR 5,-138.0210571,-141.2464722,-211.7305176,355.203833,82.44279785,81.59067993,-159.4164673,-130.4211792,-140.1648926,-163.1649414,-157.181897,-218.0515625,-225.8476807,348.940918,91.71865845,72.90275879,-203.7557007,-219.7982422,98.16064453,105.4517578,-34.98591919,-38.07308655,-36.22962646,-22.11342773,-44.09688416,-32.38788757,-28.88883057,-50.73355713,-45.8328064,-54.74956055,-41.46881104,-37.41720886,-47.94501038,-35.93395081,-214.8365479,334.0282471,69.13440552,83.86168823,-134.7175781,-128.2688721,-126.1162231,-224.1425293,-243.7092041,329.2203857,68.43797607,63.02102661,-226.8575928,-246.9086914,73.78362427,64.81826782,-82.29951782,-86.08500366,3.788100052,-68.29476318,-42.06911926
Z Symphyseal groove CUR 5,-227.9570313,-268.1238525,-808.0558105,-819.8705078,-819.1379395,-815.7813965,-551.6666992,-630.2138184,-994.7213867,-233.8513184,-887.2151367,-783.762207,-794.2209473,-793.6622559,-803.3599121,-796.5007813,-552.3353027,-553.884375,-551.8439941,-560.9378418,-1407.875879,-1429.545801,-1415.585449,-1447.404102,-1155.036914,-1436.511035,-1470.17666,-1141.128418,-1169.075977,-1456.038574,-1127.927637,-1187.864551,-1173.956641,-1426.432422,-883.8904297,-893.0138672,-882.1507813,-891.2703125,675.6505371,353.390332,971.7304688,-758.4757813,-751.0651367,-766.2213867,-760.1618652,-761.15,-506.2788086,-511.590625,-514.8842773,-517.6954102,-923.6674805,-898.5452148,-983.2521484,-924.8930664,-972.3269531
X Symphyseal groove CUR 4,5.332668304,-3.666965866,81.4272644,7.075902557,68.50255127,-53.52377319,3.796386337,-2.000382996,-5.800535202,-2.588186455,1.694249344,66.51846924,-54.22241821,4.45448761,56.98999023,-63.31330566,68.53406982,-60.350177,68.7737793,-65.21143799,-0.828532696,-2.158469582,-3.918872452,-4.227671432,-3.781420135,-1.995382881,-1.692297935,1.162878513,1.937240982,-1.194419479,-0.202147841,-4.553383636,-3.541726303,-2.594232559,-58.20524292,-3.178572655,64.85119629,-63.74847412,-1.562251377,1.379163456,-6.841704559,71.00427856,-61.02369385,0.894325352,65.35539551,-52.9565918,76.61842651,-55.57659912,64.22138062,-55.02090454,-7.593608093,-2.045236015,-5.799499893,3.869699478,11.50793991
Y Symphyseal groove CUR 4,-133.4880249,-135.0562378,-206.9106201,359.6303955,86.43693237,86.62365112,-154.3555054,-123.9004272,-134.7426147,-159.3156738,-152.6950684,-214.3734863,-221.3290283,352.6091309,95.64000244,78.37893677,-199.1492432,-214.1949219,103.6070313,110.3092651,-29.96980591,-34.13946838,-32.04080811,-19.23201447,-39.67966614,-27.00742493,-24.43059082,-47.04059448,-40.80836792,-51.1900116,-35.21585388,-32.31510925,-43.22033081,-32.33214111,-211.8054199,336.6571045,71.44383545,86.99472656,-131.2148804,-123.7966064,-120.2775024,-219.8930176,-240.5681396,331.6285645,71.48883057,66.28400879,-224.6965088,-243.6960693,76.95059814,68.72224731,-77.47323608,-80.6197998,10.18300018,-62.61794434,-35.32384033
Z Symphyseal groove CUR 4,-232.567627,-272.358252,-812.4625488,-824.6900391,-823.51875,-819.6438477,-556.779834,-633.8294434,-997.6617188,-238.6205811,-891.5881836,-788.9936523,-797.7979492,-797.787207,-806.3734863,-800.4951172,-554.707373,-557.4266113,-555.6645996,-563.353125,-1403.373828,-1434.563281,-1420.505273,-1450.52832,-1160.364746,-1441.257227,-1474.670801,-1146.461426,-1174.051953,-1462.916797,-1131.232227,-1193.744727,-1179.048047,-1431.312207,-889.5526367,-899.0569336,-888.0318359,-895.9431641,670.0382813,348.8321045,967.7116211,-763.4884766,-756.8405273,-772.3320801,-765.2753906,-766.6256836,-512.69375,-517.2661133,-521.1158691,-523.3799805,-926.8717773,-902.8194336,-982.328418,-927.5775391,-972.480957
X Symphyseal groove CUR 3,5.425614929,-4.084152222,82.65357666,7.19096756,69.61205444,-54.80474854,3.763378906,-2.086781693,-5.564932251,-2.309784317,1.594826794,67.75222168,-55.13842163,4.223890305,57.55601807,-64.47903442,69.97110596,-61.37999268,69.45637207,-66.61716309,-1.266501713,-2.325804329,-4.14793129,-4.370964432,-3.96452179,-1.90620079,-1.984562683,1.296865845,1.868581581,-1.504606152,-0.195462954,-3.758586884,-3.663843918,-2.647303009,-59.67589722,-2.893626976,66.59668579,-64.8593811,-1.414879227,1.56629343,-6.664450836,71.96036987,-62.40463257,0.93425827,66.35646362,-53.87507935,77.81398926,-56.58740845,65.65032349,-56.79368286,-7.501937866,-2.089224052,-5.966799927,3.546870804,11.32347717
Y Symphyseal groove CUR 3,-128.618335,-129.2571533,-203.0272583,363.4043701,90.13453369,90.08973999,-149.7676514,-117.3901733,-128.8865234,-155.4744385,-149.2073853,-210.9224365,-216.9187988,356.4568848,99.89095459,83.19609985,-194.8572754,-208.6022461,108.2739624,115.2383301,-24.89318848,-31.01802673,-29.15001221,-16.58204346,-35.81029358,-22.06708374,-21.06846008,-44.01750183,-36.53965454,-49.09718628,-29.39629822,-27.81182556,-39.65692139,-29.47026062,-208.9031494,339.3885498,74.15748901,90.4149231,-127.2748169,-119.1946167,-114.7494507,-215.5465088,-237.6365967,334.251709,75.0131958,69.67805786,-222.0997559,-240.1091797,80.1050293,72.64087524,-72.82432251,-75.43084106,16.16920013,-57.09505005,-29.16820679
Z Symphyseal groove CUR 3,-237.1979736,-277.2000244,-817.6171875,-829.9043945,-827.8739258,-825.0518555,-563.0083984,-638.657959,-1000.94248,-243.66604,-896.9919922,-794.0021973,-801.1947754,-801.5774414,-808.7599609,-804.548877,-557.6521484,-560.3061523,-559.9151855,-565.7364258,-1399.166699,-1439.37373,-1425.54375,-1453.548438,-1165.837598,-1446.230664,-1479.775195,-1151.815625,-1178.984766,-1469.460742,-1134.714258,-1199.657715,-1184.522461,-1435.832031,-894.8902344,-904.9070313,-893.4527344,-899.9621094,665.3498047,344.7179199,963.7620117,-767.7943848,-762.7081055,-778.1389648,-769.8219238,-771.8564941,-518.241748,-522.0269531,-527.1416504,-528.7363281,-929.5086914,-906.4160156,-980.6210938,-929.5746094,-971.590625
X Symphyseal groove CUR 2,5.634522629,-4.718394852,83.82287598,7.413264465,70.24048462,-55.91403809,3.566765213,-2.158246422,-5.234224701,-2.012944603,1.508861637,68.90144043,-56.08515015,4.022343826,58.25480957,-65.575177,71.3475647,-62.45418701,70.05524292,-68.15864868,-1.593272305,-2.402675247,-4.403601837,-4.448320389,-4.58536644,-2.058891106,-2.531342506,1.493209934,1.815695,-1.750432205,-0.299522018,-3.048168373,-3.925634766,-2.858303833,-61.10506592,-2.646328163,68.10317993,-65.93706055,-1.327088642,1.561989498,-6.523418427,72.88978271,-63.53842773,0.79884901,67.22713623,-54.7836853,78.80466309,-57.59749146,67.11655884,-58.77588501,-7.401533508,-2.118227005,-6.129800034,3.136925316,11.08188019
Y Symphyseal groove CUR 2,-124.1102173,-123.5761963,-198.5829224,367.4357178,94.64127808,93.87491455,-145.396521,-111.0734253,-123.1769897,-151.7153198,-145.3467529,-206.7565186,-212.1420898,360.2835938,104.8596191,88.13440552,-190.3356689,-202.594458,113.2594116,121.2159668,-19.46108551,-28.73727112,-25.75993042,-14.33240967,-33.42581787,-18.40428925,-18.16259308,-41.18483582,-32.53222656,-46.18772888,-23.36352997,-23.77611847,-36.28227234,-26.22842407,-204.9332031,343.0442139,77.93825073,94.18495483,-122.7697754,-114.0286255,-108.6686279,-210.9049316,-233.7827881,338.2897461,78.97255859,73.73572998,-218.3841797,-236.6081299,84.34885254,77.01761475,-67.95129395,-70.11234131,22.27879944,-51.33341675,-22.95371857
Z Symphyseal groove CUR 2,-243.1360596,-282.6595703,-822.4049805,-835.1956055,-832.3251953,-830.0244141,-569.5835449,-643.9778809,-1006.172363,-249.6257324,-902.4756836,-799.0308105,-804.9539551,-805.9244141,-811.7813965,-808.8536133,-560.7766602,-563.2630371,-564.0438477,-567.9661133,-1394.580859,-1444.55332,-1430.423828,-1457.119922,-1172.245898,-1452.2125,-1485.023926,-1157.39043,-1184.261523,-1475.991016,-1138.240332,-1205.881055,-1190.42002,-1440.198828,-899.9618164,-910.7421875,-898.7785156,-903.9657227,660.8794434,340.7237793,960.0786133,-771.7438965,-768.6361816,-783.6587402,-774.5324707,-777.026709,-523.5556152,-526.8770508,-532.8631348,-534.1045898,-931.8824219,-909.9121094,-978.2425781,-931.8021484,-970.4960938
X Symphyseal groove CUR 1,5.629122543,-5.127566528,84.52319946,7.765665436,70.66851196,-56.79001465,3.173103905,-1.999947166,-4.7961586,-1.639638138,1.337239075,69.83087158,-57.02560425,3.771572113,59.01669922,-66.60700073,72.56253052,-63.28005981,70.5793335,-69.49159546,-2.040950012,-2.207371712,-4.705506134,-4.452785492,-4.727333069,-2.175363731,-3.123305321,1.980970001,1.779192162,-1.951916313,-0.053408289,-2.371433449,-4.251804733,-3.009698486,-62.25963135,-2.527603912,69.37094727,-66.98028564,-1.354970455,1.556165028,-6.12997818,73.7732605,-64.41998901,0.492911434,67.98530273,-55.73717651,79.73379517,-58.53414917,68.33148804,-60.83781738,-7.340512848,-2.229784203,-6.081000137,2.552355957,10.87329025
Y Symphyseal groove CUR 1,-117.8956421,-116.7541626,-193.1573364,372.7109375,100.1790222,98.655896,-139.5962158,-103.9302612,-116.2995117,-146.2913696,-140.7035645,-201.4540771,-207.1585938,365.2878662,110.1846069,93.23266602,-185.1793823,-196.4008423,119.0979492,127.6051392,-13.31480408,-24.93357086,-21.73703308,-10.32275543,-28.39946594,-12.92788696,-13.96048279,-36.61669312,-27.68531799,-41.2919281,-17.14671478,-19.39152069,-31.07395935,-22.25786133,-200.0682495,347.5671875,82.24571533,98.21500854,-118.2801147,-108.6440552,-102.1951599,-206.3223145,-229.4393066,342.7483154,83.23839111,78.31882324,-214.5835449,-232.8826416,88.51726685,81.68681641,-63.0173645,-64.74034424,28.40029907,-45.51979065,-17.16240387
