"","X","x"
"1",1,1
"2",2,2
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,2
"10",10,2
"11",11,2
"12",12,2
"13",13,2
"14",14,2
"15",15,1
"16",16,2
"17",17,1
"18",18,1
"19",19,1
"20",20,1
"21",21,1
"22",22,1
"23",23,1
"24",24,2
"25",25,2
"26",26,2
"27",27,2
"28",28,2
"29",29,2
"30",30,2
"31",31,5
"32",32,5
"33",33,5
"34",34,5
"35",35,5
"36",36,5
"37",37,5
"38",38,5
"39",39,5
"40",40,5
"41",41,5
"42",42,5
"43",43,5
"44",44,5
"45",45,5
"46",46,5
"47",47,5
"48",48,5
"49",49,5
"50",50,5
"51",51,5
"52",52,5
"53",53,1
"54",54,1
"55",55,1
"56",56,1
"57",57,1
"58",58,1
"59",59,1
"60",60,1
"61",61,1
"62",62,1
"63",63,2
"64",64,2
"65",65,2
"66",66,2
"67",67,2
"68",68,2
"69",69,2
"70",70,2
"71",71,2
"72",72,2
"73",73,5
"74",74,5
"75",75,5
"76",76,5
"77",77,5
"78",78,5
"79",79,5
"80",80,5
"81",81,5
"82",82,5
"83",83,5
"84",84,5
"85",85,5
"86",86,5
"87",87,5
"88",88,5
"89",89,5
"90",90,5
"91",91,5
"92",92,5
"93",93,5
"94",94,5
"95",95,5
"96",96,1
"97",97,2
"98",98,5
"99",99,5
"100",100,5
"101",101,5
"102",102,5
"103",103,5
"104",104,5
"105",105,5
"106",106,5
"107",107,5
"108",108,5
"109",109,5
"110",110,5
"111",111,5
"112",112,5
"113",113,5
"114",114,5
"115",115,5
"116",116,5
"117",117,5
"118",118,5
"119",119,5
"120",120,5
"121",121,5
"122",122,5
"123",123,5
"124",124,5
"125",125,5
"126",126,5
"127",127,5
"128",128,5
"129",129,4
"130",130,5
"131",131,5
"132",132,5
"133",133,5
"134",134,5
"135",135,5
"136",136,5
"137",137,5
"138",138,5
"139",139,5
"140",140,4
"141",141,5
"142",142,5
"143",143,5
"144",144,5
"145",145,5
"146",146,5
"147",147,5
"148",148,5
"149",149,5
"150",150,5
"151",151,5
"152",152,5
"153",153,5
"154",154,5
"155",155,5
"156",156,5
"157",157,5
"158",158,5
"159",159,5
"160",160,5
"161",161,5
"162",162,5
"163",163,5
"164",164,5
"165",165,5
"166",166,5
"167",167,5
"168",168,5
"169",169,5
"170",170,4
"171",171,5
"172",172,5
"173",173,5
"174",174,5
"175",175,5
"176",176,5
"177",177,5
"178",178,5
"179",179,4
"180",180,5
"181",181,5
"182",182,5
"183",183,5
"184",184,5
"185",185,5
"186",186,5
"187",187,5
"188",188,5
"189",189,5
"190",190,5
"191",191,5
"192",192,5
"193",193,5
"194",194,5
"195",195,5
"196",196,5
"197",197,5
"198",198,5
"199",199,5
"200",200,5
"201",201,5
"202",202,5
"203",203,5
"204",204,5
"205",205,5
"206",206,5
"207",207,5
"208",208,5
"209",209,5
"210",210,3
"211",211,3
"212",212,3
"213",213,3
"214",214,3
"215",215,3
"216",216,3
"217",217,3
"218",218,3
"219",219,3
"220",220,3
"221",221,3
"222",222,3
"223",223,3
"224",224,3
"225",225,3
"226",226,5
"227",227,5
"228",228,5
"229",229,5
"230",230,1
"231",231,1
"232",232,5
"233",233,1
"234",234,1
"235",235,1
"236",236,1
"237",237,1
"238",238,1
"239",239,1
"240",240,1
"241",241,1
"242",242,1
"243",243,1
"244",244,1
"245",245,1
"246",246,1
"247",247,1
"248",248,1
"249",249,1
"250",250,2
"251",251,2
"252",252,2
"253",253,2
"254",254,2
"255",255,2
"256",256,2
"257",257,2
"258",258,2
"259",259,2
"260",260,2
"261",261,2
"262",262,2
"263",263,2
"264",264,2
"265",265,2
"266",266,2
"267",267,2
"268",268,2
"269",269,2
"270",270,1
"271",271,2
"272",272,1
"273",273,1
"274",274,1
"275",275,5
"276",276,5
"277",277,1
"278",278,1
"279",279,1
"280",280,1
"281",281,1
"282",282,2
"283",283,2
"284",284,2
"285",285,2
"286",286,2
"287",287,2
"288",288,2
"289",289,2
"290",290,2
"291",291,2
"292",292,1
"293",293,2
"294",294,1
"295",295,2
"296",296,5
"297",297,5
"298",298,5
"299",299,5
"300",300,5
"301",301,5
"302",302,2
"303",303,2
"304",304,2
"305",305,2
"306",306,2
"307",307,2
"308",308,2
"309",309,2
"310",310,2
"311",311,2
"312",312,1
"313",313,2
"314",314,2
"315",315,2
"316",316,2
"317",317,2
"318",318,2
"319",319,2
"320",320,2
"321",321,2
"322",322,2
"323",323,1
"324",324,2
"325",325,2
"326",326,2
"327",327,2
"328",328,2
"329",329,2
"330",330,2
"331",331,2
"332",332,2
"333",333,2
"334",334,1
"335",335,2
"336",336,2
"337",337,2
"338",338,2
"339",339,2
"340",340,2
"341",341,2
"342",342,2
"343",343,2
"344",344,2
"345",345,1
"346",346,2
"347",347,2
"348",348,2
"349",349,2
"350",350,2
"351",351,2
"352",352,2
"353",353,2
"354",354,2
"355",355,1
"356",356,1
"357",357,1
"358",358,1
"359",359,1
"360",360,1
