,x
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,6
18,6
19,5
20,6
21,6
22,6
23,6
24,6
25,6
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,6
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,6
44,6
45,5
46,6
47,1
48,6
49,6
50,6
51,1
52,6
53,6
54,6
55,6
56,6
57,6
58,2
59,6
60,6
61,6
62,2
63,6
64,6
65,1
66,6
67,1
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,1
78,6
79,2
80,6
81,1
82,6
83,2
84,1
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,1
94,6
95,5
96,6
97,6
98,6
99,6
100,6
101,1
102,5
103,6
104,6
105,2
106,6
107,6
108,6
109,6
110,5
111,6
112,6
113,6
114,6
115,1
116,3
117,1
118,3
119,3
120,1
121,6
122,3
123,6
124,6
125,3
126,6
127,6
128,6
129,6
130,3
131,6
132,6
133,6
134,6
135,3
136,3
137,6
138,1
139,6
140,6
141,6
142,6
143,6
144,1
145,1
146,6
147,3
148,6
149,6
150,6
151,3
152,1
153,6
154,6
155,6
156,6
157,1
158,3
159,6
160,1
161,1
162,1
163,6
164,3
165,3
166,3
167,6
168,6
169,1
170,6
171,6
172,6
173,3
174,6
175,3
176,6
177,3
178,3
179,3
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,5
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,5
198,6
199,6
200,6
201,1
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,5
217,6
218,5
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,1
231,5
232,6
233,1
234,6
235,5
236,6
237,6
238,6
239,6
240,6
241,2
242,1
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,1
251,1
252,6
253,1
254,2
255,6
256,6
257,6
258,1
259,6
260,1
261,1
262,2
263,2
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,2
272,6
273,1
274,2
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,1
286,1
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,6
296,6
297,1
298,6
299,6
300,1
301,6
302,3
303,3
304,6
305,3
306,3
307,6
308,3
309,6
310,3
311,6
312,6
313,6
314,3
315,1
316,3
317,3
318,3
319,6
320,1
321,6
322,6
323,3
324,6
325,3
326,6
327,6
328,6
329,6
330,3
331,3
332,6
333,6
334,1
335,3
336,1
337,6
338,6
339,6
340,1
341,6
342,6
343,3
344,6
345,3
346,6
347,1
348,1
349,6
350,6
351,6
352,6
353,3
354,6
355,6
356,6
357,3
358,6
359,3
360,6
361,6
362,6
363,6
364,6
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,6
373,6
374,3
375,6
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,6
384,6
385,3
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,2
397,2
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,2
409,2
410,6
411,6
412,6
413,6
414,6
415,6
416,6
417,6
418,5
419,6
420,6
421,5
422,6
423,6
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,6
433,6
434,3
435,3
436,6
437,3
438,3
439,3
440,3
441,3
442,3
443,6
444,6
445,3
446,3
447,6
448,2
449,2
450,2
451,6
452,6
453,6
454,6
455,6
456,6
457,2
458,2
459,2
460,2
461,6
462,6
463,6
464,6
465,6
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,2
483,2
