,x
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,6
18,6
19,5
20,6
21,6
22,1
23,1
24,6
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,5
46,5
47,5
48,1
49,6
50,6
51,2
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,5
63,1
64,1
65,2
66,6
67,1
68,6
69,6
70,6
71,6
72,6
73,6
74,5
75,6
76,6
77,1
78,1
79,6
80,6
81,5
82,6
83,6
84,1
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,2
93,2
94,1
95,1
96,6
97,6
98,1
99,1
100,6
101,6
102,2
103,2
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,3
113,6
114,6
115,6
116,3
117,3
118,2
119,6
120,6
121,6
122,6
123,6
124,3
125,3
126,2
127,6
128,2
129,2
130,2
131,6
132,6
133,2
134,3
135,6
136,3
137,6
138,6
139,6
140,3
141,2
142,6
143,2
144,6
145,2
146,2
147,6
148,6
149,6
150,6
151,6
152,3
153,6
154,6
155,6
156,6
157,6
158,2
159,3
160,6
161,6
162,6
163,6
164,6
165,1
166,6
167,6
168,6
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,6
177,1
178,6
179,3
180,6
181,3
182,1
183,1
184,3
185,6
186,1
187,6
188,6
189,3
190,3
191,1
192,6
193,6
194,1
195,6
196,3
197,6
198,1
199,1
200,6
201,1
202,6
203,3
204,6
205,6
206,6
207,6
208,3
209,6
210,3
211,3
212,6
213,1
214,1
215,1
216,3
217,3
218,3
219,6
220,5
221,5
222,5
223,1
224,6
225,6
226,6
227,6
228,2
229,5
230,6
231,6
232,2
233,2
234,6
235,1
236,5
237,6
238,1
239,2
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,2
248,6
249,6
250,6
251,5
252,6
253,2
254,1
255,6
256,6
257,6
258,5
259,6
260,1
261,1
262,2
263,1
264,6
265,2
266,6
267,1
268,6
269,6
270,6
271,6
272,6
273,1
274,2
275,1
276,6
277,6
278,5
279,5
280,6
281,6
282,6
283,2
284,6
285,1
286,5
287,6
288,1
289,6
290,6
291,6
292,6
293,6
294,1
295,1
296,6
297,2
298,2
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,5
307,5
308,6
309,5
310,6
311,1
312,6
313,6
314,6
315,6
316,1
317,1
318,6
319,2
320,6
321,6
322,1
323,2
324,6
325,6
326,6
327,2
328,6
329,6
330,3
331,1
332,6
333,6
334,6
335,3
336,2
337,3
338,2
339,6
340,6
341,3
342,6
343,6
344,2
345,3
346,2
347,6
348,6
349,6
350,3
351,6
352,6
353,6
354,1
355,6
356,6
357,6
358,3
359,6
360,2
361,6
362,2
363,6
364,6
365,6
366,6
367,2
368,6
369,6
370,3
371,1
372,3
373,6
374,6
375,2
376,6
377,6
378,6
379,2
380,6
381,3
382,1
383,6
384,6
385,2
386,6
387,6
388,6
389,1
390,6
391,1
392,6
393,3
394,6
395,1
396,1
397,1
398,6
399,6
400,1
401,6
402,6
403,6
404,3
405,1
406,1
407,1
408,3
409,6
410,3
411,6
412,1
413,6
414,3
415,6
416,6
417,1
418,1
419,3
420,6
421,1
422,6
423,6
424,1
425,3
426,6
427,6
428,3
429,6
430,3
431,6
432,3
433,3
434,3
435,1
436,1
437,3
438,6
439,6
440,6
441,6
442,5
443,1
444,6
445,6
446,6
447,3
448,3
449,3
450,3
451,3
452,6
453,6
454,3
455,6
456,6
457,6
458,3
459,3
460,3
461,3
462,3
463,6
464,6
465,3
466,6
467,6
468,2
469,6
470,6
471,6
472,6
473,6
474,6
475,6
476,2
477,2
478,2
479,6
480,2
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,2
489,2
490,2
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,5
499,5
500,5
501,5
502,6
503,6
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,6
513,6
514,3
515,3
516,6
517,3
518,3
519,3
520,3
521,3
522,6
523,6
524,6
525,3
526,3
527,6
528,2
529,2
530,2
531,2
532,6
533,1
534,1
535,6
536,6
537,2
538,2
539,2
540,2
541,6
542,6
543,6
544,6
545,6
546,6
547,6
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,2
563,2
564,6
565,6
566,1
567,1
568,1
569,1
570,1
571,6
572,1
573,1
574,1
575,1
576,1
577,6
